-- Configuring done (3.1s)
-- Generating done (2.4s)
-- Build files have been written to: /workspace/EpithelialRheology/build
[100%] Built target chaste_project_EpithelialRheology
[ 40%] Built target chaste_project_EpithelialRheology
[100%] Built target TestDeformationEnergy
=== BUILD DONE, STARTING TestDeformationEnergy ===
Running 30 tests
Changing directory from '/workspace/EpithelialRheology/build/' to '/home/conda/build_artifacts/chaste_1736320297758/work/'.
CWD now: /home/conda/build_artifacts/chaste_1736320297758/work


 ***** TestDeformationEnergy.hpp *****


Entering TestAreaElasticity_1p0_rep1
Starting simulation: AreaElasticity_1.0_rep1
areaElasticity = 1
Target area: 60 units^2
Initial cell count: 6
t=90 h | cells=38 | area=13.6059/60 | coverage=22.6765%
t=91 h | cells=46 | area=13.5439/60 | coverage=22.5731%
t=92 h | cells=46 | area=13.3296/60 | coverage=22.2161%
t=93 h | cells=46 | area=13.3425/60 | coverage=22.2374%
t=94 h | cells=46 | area=13.4923/60 | coverage=22.4872%
t=95 h | cells=47 | area=13.6802/60 | coverage=22.8003%
t=96 h | cells=47 | area=13.8355/60 | coverage=23.0591%
t=97 h | cells=47 | area=14.0519/60 | coverage=23.4199%
t=98 h | cells=46 | area=14.3854/60 | coverage=23.9756%
t=99 h | cells=46 | area=14.815/60 | coverage=24.6916%
t=100 h | cells=46 | area=15.3105/60 | coverage=25.5175%
t=101 h | cells=48 | area=15.8245/60 | coverage=26.3741%
t=102 h | cells=48 | area=16.0852/60 | coverage=26.8087%
t=103 h | cells=48 | area=16.4153/60 | coverage=27.3589%
t=104 h | cells=49 | area=16.7271/60 | coverage=27.8785%
t=105 h | cells=50 | area=17.0231/60 | coverage=28.3719%
t=106 h | cells=57 | area=16.9527/60 | coverage=28.2546%
t=107 h | cells=58 | area=16.9227/60 | coverage=28.2045%
t=108 h | cells=58 | area=16.9926/60 | coverage=28.321%
t=109 h | cells=58 | area=17.1504/60 | coverage=28.584%
t=110 h | cells=59 | area=17.3755/60 | coverage=28.9592%
t=111 h | cells=58 | area=17.65/60 | coverage=29.4166%
t=112 h | cells=58 | area=17.9863/60 | coverage=29.9772%
t=113 h | cells=59 | area=18.2454/60 | coverage=30.409%
t=114 h | cells=59 | area=18.4676/60 | coverage=30.7794%
t=115 h | cells=67 | area=18.5609/60 | coverage=30.9349%
t=116 h | cells=67 | area=18.5973/60 | coverage=30.9954%
t=117 h | cells=67 | area=18.8214/60 | coverage=31.3689%
t=118 h | cells=67 | area=19.127/60 | coverage=31.8784%
t=119 h | cells=69 | area=19.3586/60 | coverage=32.2644%
t=120 h | cells=70 | area=19.5826/60 | coverage=32.6376%
t=121 h | cells=70 | area=19.9292/60 | coverage=33.2154%
t=122 h | cells=71 | area=20.3448/60 | coverage=33.908%
t=123 h | cells=72 | area=20.7802/60 | coverage=34.6337%
t=124 h | cells=71 | area=21.1056/60 | coverage=35.176%
t=125 h | cells=74 | area=21.5248/60 | coverage=35.8747%
t=126 h | cells=74 | area=21.7025/60 | coverage=36.1708%
t=127 h | cells=74 | area=21.9408/60 | coverage=36.5679%
t=128 h | cells=73 | area=22.1966/60 | coverage=36.9944%
t=129 h | cells=73 | area=22.5207/60 | coverage=37.5344%
t=130 h | cells=78 | area=22.4404/60 | coverage=37.4007%
t=131 h | cells=78 | area=22.5663/60 | coverage=37.6105%
t=132 h | cells=77 | area=22.8665/60 | coverage=38.1108%
t=133 h | cells=77 | area=23.3148/60 | coverage=38.858%
t=134 h | cells=75 | area=23.7986/60 | coverage=39.6644%
t=135 h | cells=75 | area=24.3396/60 | coverage=40.5661%
t=136 h | cells=75 | area=24.8962/60 | coverage=41.4937%
t=137 h | cells=75 | area=25.4163/60 | coverage=42.3606%
t=138 h | cells=75 | area=25.9038/60 | coverage=43.1731%
t=139 h | cells=84 | area=26.1883/60 | coverage=43.6471%
t=140 h | cells=86 | area=26.2894/60 | coverage=43.8157%
t=141 h | cells=85 | area=26.5242/60 | coverage=44.207%
t=142 h | cells=85 | area=26.8347/60 | coverage=44.7245%
t=143 h | cells=84 | area=27.1701/60 | coverage=45.2835%
t=144 h | cells=85 | area=27.5311/60 | coverage=45.8851%
t=145 h | cells=85 | area=27.926/60 | coverage=46.5434%
t=146 h | cells=85 | area=28.3337/60 | coverage=47.2229%
t=147 h | cells=89 | area=28.7117/60 | coverage=47.8529%
t=148 h | cells=91 | area=29.0123/60 | coverage=48.3539%
t=149 h | cells=92 | area=29.3783/60 | coverage=48.9638%
t=150 h | cells=91 | area=29.6249/60 | coverage=49.3749%
