-- Configuring done (3.9s)
-- Generating done (2.1s)
-- Build files have been written to: /workspace/EpithelialRheology/build
[100%] Built target chaste_project_EpithelialRheology
[ 40%] Built target chaste_project_EpithelialRheology
[100%] Built target TestAdhesion
=== BUILD DONE, STARTING TestAdhesion ===
Running 30 tests
Changing directory from '/workspace/EpithelialRheology/build/' to '/home/conda/build_artifacts/chaste_1736320297758/work/'.
CWD now: /home/conda/build_artifacts/chaste_1736320297758/work


 ***** TestAdhesion.hpp *****


Entering TestLineTension_0p00_rep1
Starting simulation: LineTension_0.00_rep1
lineTension = 0
Target area: 60 units^2
Initial cell count: 6
t=91 h | cells=66 | area=43.3924/60 | coverage=72.3207%
t=92 h | cells=66 | area=44.3053/60 | coverage=73.8422%
t=93 h | cells=66 | area=45.265/60 | coverage=75.4417%
t=94 h | cells=66 | area=45.9536/60 | coverage=76.5894%
t=95 h | cells=66 | area=46.5848/60 | coverage=77.6414%
t=96 h | cells=66 | area=47.2087/60 | coverage=78.6812%
t=97 h | cells=66 | area=47.8441/60 | coverage=79.7402%
t=98 h | cells=66 | area=48.4925/60 | coverage=80.8208%
t=99 h | cells=66 | area=49.1587/60 | coverage=81.9311%
t=100 h | cells=66 | area=49.8466/60 | coverage=83.0777%
t=101 h | cells=66 | area=50.5545/60 | coverage=84.2576%
t=102 h | cells=66 | area=51.2313/60 | coverage=85.3854%
t=103 h | cells=66 | area=51.8551/60 | coverage=86.4252%
t=104 h | cells=66 | area=52.4359/60 | coverage=87.3932%
t=105 h | cells=72 | area=52.9975/60 | coverage=88.3291%
t=106 h | cells=78 | area=53.5154/60 | coverage=89.1923%
t=107 h | cells=90 | area=53.8457/60 | coverage=89.7428%
t=108 h | cells=90 | area=54.4262/60 | coverage=90.7104%
t=109 h | cells=90 | area=55.2353/60 | coverage=92.0589%
t=110 h | cells=90 | area=56.1711/60 | coverage=93.6185%
t=111 h | cells=90 | area=57.1572/60 | coverage=95.2619%
t=112 h | cells=95 | area=58.1936/60 | coverage=96.9894%
t=113 h | cells=95 | area=59.1478/60 | coverage=98.5797%
t=114 h | cells=95 | area=59.7161/60 | coverage=99.5268%
